age,annual_income,credit_score,employment_type,gender,loan_amount,loan_term_months,approved
56,97439,826,Contractor,Male,1185924,12,0
44,76574,820,Salaried,Male,763150,48,1
50,219803,636,Self-employed,Male,849763,12,1
33,236851,768,Salaried,Male,354264,120,0
43,256335,605,Salaried,Male,1599613,24,1
53,212359,717,Salaried,Male,1430679,48,1
55,137006,756,Salaried,Female,644725,12,1
56,291778,407,Salaried,Male,1590744,120,1
47,116206,659,Government,Male,549506,12,1
28,205493,483,Salaried,Male,440879,60,1
58,69987,650,Self-employed,Male,590511,36,1
50,197978,531,Salaried,Male,1305225,360,0
25,277928,735,Government,Female,1112872,12,0
42,47665,488,Contractor,Male,496512,24,0
43,279503,405,Government,Female,1135465,360,1
27,271630,640,Self-employed,Male,983885,180,1
27,135438,424,Government,Male,550243,12,1
25,273145,811,Government,Male,1336692,360,1
41,247819,736,Contractor,Male,1586557,36,1
23,231957,829,Government,Male,320233,120,1
64,65041,682,Salaried,Female,1224786,36,0
54,116515,831,Salaried,Male,825657,60,1
32,219947,553,Government,Female,824551,180,1
35,53724,440,Contractor,Male,288777,180,1
28,50939,836,Self-employed,Female,594115,120,0
46,287340,612,Contractor,Female,289605,120,1
39,207830,792,Government,Female,598987,120,1
50,272930,528,Salaried,Female,306382,36,1
30,84886,826,Salaried,Female,185249,360,1
63,137707,663,Contractor,Female,202477,48,1
28,113081,700,Self-employed,Female,1153402,24,0
44,212654,564,Contractor,Male,746217,36,1
55,263877,570,Government,Female,1310790,36,1
43,234252,407,Government,Male,886082,120,0
64,84947,510,Salaried,Male,348623,48,1
21,92629,492,Salaried,Female,177706,120,1
62,246280,728,Self-employed,Female,638024,360,1
34,148076,803,Contractor,Male,759948,12,1
32,64430,743,Contractor,Male,1189301,120,1
25,102962,439,Salaried,Male,705330,48,0
38,81979,679,Salaried,Male,1111622,24,1
54,230707,673,Self-employed,Male,179054,12,1
22,131394,453,Salaried,Male,1515822,12,0
40,115834,805,Government,Female,1021451,60,0
56,135817,426,Contractor,Female,878721,24,1
47,226303,414,Salaried,Female,1496763,180,1
36,183565,523,Salaried,Female,1362889,120,1
51,94178,547,Salaried,Female,1257916,36,0
60,291327,680,Government,Male,1475260,120,1
59,117629,456,Salaried,Male,273794,60,0
60,103756,554,Contractor,Male,1387772,180,1
45,221027,757,Contractor,Male,1270696,180,1
35,241612,482,Salaried,Male,225956,48,1
32,90424,844,Contractor,Female,1238843,120,1
22,54900,790,Self-employed,Male,1329766,60,1
52,215908,586,Self-employed,Male,1063941,60,1
37,211445,429,Self-employed,Female,300294,48,1
64,247739,750,Salaried,Male,823207,12,1
50,247186,800,Contractor,Female,307620,180,1
59,104450,695,Contractor,Male,1089582,60,0
51,202210,654,Salaried,Female,1473813,180,0
40,281553,640,Salaried,Female,603158,12,1
63,106005,446,Government,Male,1384526,60,1
23,291436,589,Salaried,Male,697416,120,0
35,51343,487,Salaried,Male,406132,180,1
42,245052,572,Self-employed,Female,1078201,36,0
53,291822,573,Salaried,Female,254363,180,1
47,134796,706,Contractor,Female,1257234,60,1
63,239983,476,Self-employed,Male,885286,36,1
42,56639,691,Government,Male,1404651,360,1
27,139857,628,Salaried,Female,982818,48,1
56,204880,532,Salaried,Male,1478530,180,1
62,106119,493,Salaried,Male,1550739,60,1
25,274172,491,Salaried,Male,1441757,12,0
58,134506,734,Self-employed,Female,1525137,24,1
42,167949,752,Salaried,Male,234839,36,0
39,64858,425,Contractor,Male,1392304,120,1
47,224926,788,Salaried,Female,887656,120,1
44,90749,595,Self-employed,Male,946989,120,0
28,259053,404,Government,Female,1426074,120,1
42,194221,591,Contractor,Male,1099793,24,1
57,188266,797,Salaried,Female,309775,120,1
47,182515,650,Salaried,Male,976673,120,1
44,161333,624,Salaried,Female,797657,48,0
34,240586,678,Self-employed,Female,205380,60,1
27,238646,784,Contractor,Female,1135695,60,0
41,95981,522,Self-employed,Male,304970,60,1
21,89510,761,Contractor,Female,472275,36,1
58,62617,629,Self-employed,Male,728719,60,0
25,177561,635,Contractor,Female,210173,60,0
24,150624,564,Salaried,Male,488420,60,1
23,48708,665,Contractor,Female,479695,360,0
21,48137,795,Salaried,Male,1152924,120,1
30,86806,791,Contractor,Female,923256,120,0
59,134008,796,Self-employed,Female,774991,120,1
25,253727,768,Salaried,Male,359499,120,1
21,283445,511,Contractor,Male,888635,24,1
34,55007,834,Contractor,Female,1080385,60,0
52,291923,609,Government,Female,457269,120,1
38,130169,628,Salaried,Male,1107466,120,0
41,71689,656,Salaried,Female,1099458,120,0
54,161967,464,Self-employed,Male,908406,12,0
49,240841,451,Salaried,Female,1327913,24,0
44,225983,653,Contractor,Male,940211,12,1
24,67644,785,Government,Female,1234674,180,0
64,233123,662,Self-employed,Male,743841,24,1
58,59578,401,Salaried,Female,619702,24,1
33,178407,572,Government,Male,254954,36,0
59,58669,697,Salaried,Male,844040,12,1
52,220396,452,Salaried,Female,116877,24,0
60,63211,428,Contractor,Male,853334,12,1
52,150082,749,Government,Female,162004,60,0
28,217849,511,Salaried,Female,607969,24,1
49,59845,465,Government,Male,308439,360,1
58,171026,500,Government,Male,693466,360,1
33,151479,765,Salaried,Female,1427002,36,0
40,123563,619,Contractor,Male,1561838,36,0
31,187136,558,Salaried,Female,799349,60,0
59,92394,806,Self-employed,Male,1369733,360,0
48,282585,428,Salaried,Male,643680,120,1
53,204286,644,Salaried,Female,1222672,180,0
38,221910,552,Contractor,Male,279602,48,1
59,46197,724,Government,Female,790776,60,1
55,83906,746,Salaried,Female,165395,360,1
63,64443,510,Government,Male,281819,24,1
50,98867,580,Government,Female,201843,60,1
59,177359,576,Salaried,Female,100201,120,1
38,213977,798,Government,Female,1138640,120,1
43,118749,454,Salaried,Male,1494916,24,1
36,158990,488,Government,Male,724654,24,0
45,57053,449,Salaried,Male,248944,48,1
24,64247,499,Contractor,Female,1086154,48,1
39,176064,596,Salaried,Female,821224,120,1
51,293161,512,Salaried,Male,272556,24,1
22,180830,571,Self-employed,Male,1093951,48,0
56,126555,598,Contractor,Male,755205,48,1
42,102302,450,Salaried,Female,1432971,180,0
60,61317,497,Salaried,Male,1074288,24,0
36,212264,709,Salaried,Male,1516825,24,1
58,197182,572,Self-employed,Female,318318,12,1
51,125472,837,Salaried,Male,1067760,120,1
28,80109,603,Contractor,Male,1102292,120,1
30,193563,715,Salaried,Male,326977,60,1
30,211235,735,Government,Female,144697,60,1
62,77585,610,Self-employed,Female,403520,24,0
22,188186,617,Salaried,Male,560841,360,1
61,145039,424,Self-employed,Female,1393404,24,1
30,157868,673,Salaried,Male,625967,48,0
40,46902,647,Contractor,Male,1236574,36,1
29,187494,410,Salaried,Male,809006,12,0
58,97705,412,Self-employed,Male,126417,12,1
32,182420,716,Self-employed,Male,456217,120,1
50,175896,696,Salaried,Female,545232,12,1
64,176542,562,Self-employed,Female,549111,24,1
22,201252,820,Contractor,Male,1288154,36,1
50,58706,717,Salaried,Male,1446451,360,1
44,106858,841,Government,Female,1363239,60,0
33,257781,427,Contractor,Male,197578,360,0
50,134523,626,Government,Male,1503220,24,1
21,195298,417,Self-employed,Female,1118024,48,0
38,51497,474,Government,Male,1347939,36,1
36,233911,715,Self-employed,Female,247603,120,0
65,281220,805,Salaried,Male,843330,120,0
30,113720,662,Government,Male,120198,24,1
33,232215,632,Contractor,Male,1031156,36,0
34,180060,576,Salaried,Male,621899,24,1
21,55511,831,Salaried,Female,601163,360,1
58,144372,534,Government,Female,437730,12,1
25,104061,757,Government,Female,694118,60,1
25,218595,788,Contractor,Female,1243543,24,0
63,276538,554,Salaried,Male,225697,120,1
45,136768,749,Government,Female,372469,36,0
34,275746,817,Salaried,Female,582955,24,0
44,141061,584,Contractor,Male,390568,24,0
25,268877,701,Government,Male,404797,48,1
30,166603,664,Salaried,Male,218152,180,0
32,260270,693,Salaried,Female,871347,120,1
46,203036,645,Government,Female,197320,12,0
52,278150,759,Salaried,Male,201588,36,1
62,258742,543,Contractor,Male,1287854,120,1
65,176441,772,Salaried,Male,199954,360,1
60,145501,655,Contractor,Male,1142823,12,1
61,273324,634,Government,Male,114973,120,1
30,284099,495,Self-employed,Female,1378437,120,1
45,203412,763,Government,Female,504396,180,1
59,186047,409,Salaried,Male,1310045,120,1
63,232000,737,Salaried,Female,459757,180,1
59,78720,638,Government,Female,766610,36,1
33,141497,804,Self-employed,Male,1479026,60,1
54,113059,840,Contractor,Female,810100,180,1
53,161342,812,Government,Female,261406,24,0
43,161822,412,Salaried,Female,1196430,120,1
48,285623,446,Contractor,Male,597566,360,1
30,174660,617,Salaried,Female,554868,180,1
23,222364,656,Government,Female,1447465,12,0
51,236499,604,Government,Female,666756,48,1
30,128331,840,Self-employed,Male,1569177,36,1
31,82158,811,Contractor,Male,1197983,60,1
39,46410,608,Salaried,Female,975136,24,0
52,87608,847,Government,Male,1127554,180,1
45,95778,623,Salaried,Female,104783,120,1
35,123413,573,Salaried,Male,1293406,180,1
26,215788,690,Salaried,Female,819626,12,1
21,65086,455,Contractor,Male,1556166,12,0
61,228154,574,Salaried,Female,805303,36,0
39,242157,654,Government,Male,1007594,120,1
50,209430,686,Salaried,Female,1368111,12,1
53,289919,555,Contractor,Female,1087300,24,0
61,220850,672,Contractor,Female,1148008,360,1
52,86024,522,Contractor,Male,772037,48,1
64,270455,574,Salaried,Female,291987,12,1
47,95845,693,Government,Male,1240095,36,1
39,186393,598,Salaried,Female,1026383,24,0
26,219379,554,Salaried,Male,1154906,12,0
63,97347,758,Self-employed,Female,444657,36,1
43,206061,585,Salaried,Female,515850,360,0
60,137352,539,Contractor,Female,1419473,24,0
21,119907,606,Government,Male,1358245,60,0
55,107294,740,Contractor,Female,580928,24,0
38,150157,454,Salaried,Female,633225,120,0
61,69373,792,Government,Female,974460,60,1
33,294403,588,Salaried,Female,994606,12,1
50,139500,690,Salaried,Male,639360,36,0
45,109651,703,Salaried,Female,1224592,180,1
56,53378,835,Government,Male,506367,12,1
54,158958,414,Salaried,Male,1004130,120,1
34,230548,731,Salaried,Female,1337169,120,0
58,79711,448,Salaried,Male,417867,36,1
34,64677,832,Salaried,Male,765666,180,1
27,150735,758,Contractor,Female,952948,120,0
25,72666,517,Contractor,Female,774442,24,0
57,277805,834,Government,Male,1180428,120,1
45,156800,492,Salaried,Male,419033,12,1
58,64239,610,Salaried,Female,291951,360,0
30,98889,779,Contractor,Male,106545,180,0
32,292150,475,Salaried,Male,670119,360,0
30,82354,754,Self-employed,Female,440550,180,1
32,45938,592,Government,Male,661685,36,1
58,215929,792,Contractor,Male,704304,36,1
46,226982,579,Contractor,Female,1304254,120,1
61,231615,782,Contractor,Female,380921,48,1
39,264126,425,Salaried,Male,1130976,48,1
29,195162,702,Government,Male,1569356,360,0
22,108074,627,Salaried,Male,1355371,360,0
58,190054,502,Salaried,Male,1408317,24,1
60,48164,651,Contractor,Female,177037,180,1
58,242774,832,Contractor,Male,112448,36,1
54,289831,642,Self-employed,Male,1443250,24,0
28,160726,476,Contractor,Male,1586887,12,1
40,185021,436,Self-employed,Female,1091473,360,1
49,199460,718,Salaried,Female,1577556,48,1
45,201254,640,Salaried,Male,586071,24,1
64,95747,710,Contractor,Male,1486699,360,0
53,171607,762,Salaried,Male,158893,24,1
38,185101,699,Salaried,Female,839912,24,1
47,172679,435,Self-employed,Female,416918,360,0
26,241851,514,Self-employed,Female,1322491,180,1
39,102793,585,Government,Male,234018,120,0
36,199471,727,Salaried,Male,274783,24,1
46,150983,729,Salaried,Female,720049,180,1
48,110123,603,Salaried,Female,861030,36,1
65,241460,635,Contractor,Female,232173,360,0
58,98063,842,Salaried,Male,1485437,360,0
47,122261,777,Salaried,Male,459397,12,0
50,49411,656,Contractor,Male,866773,180,0
58,116443,461,Self-employed,Female,188293,48,0
48,264213,680,Salaried,Female,808356,180,0
37,45668,717,Self-employed,Male,1300814,48,1
38,252847,519,Self-employed,Female,786400,12,0
25,71991,620,Self-employed,Female,385421,60,0
63,239154,558,Self-employed,Male,292061,24,1
39,274154,739,Self-employed,Female,1162189,48,0
51,237719,704,Salaried,Male,943657,36,1
26,95026,442,Salaried,Female,735478,60,0
22,58939,779,Salaried,Female,296002,48,1
43,143449,779,Government,Female,683773,360,0
29,229949,469,Contractor,Male,167902,60,1
27,119107,677,Salaried,Male,549550,120,0
21,80530,587,Government,Female,858169,24,0
53,163255,660,Salaried,Male,704739,24,1
49,287523,563,Contractor,Female,759903,120,1
43,57981,797,Contractor,Female,1430612,24,1
62,253147,635,Salaried,Male,499072,120,0
29,249802,801,Government,Male,676693,60,0
34,70889,802,Salaried,Male,778877,360,1
65,287368,726,Salaried,Female,507279,24,1
58,171967,546,Contractor,Female,901635,180,1
55,124594,612,Contractor,Male,1111444,120,1
65,200261,472,Salaried,Male,1537404,120,1
61,168299,468,Government,Male,1247418,36,1
30,94151,574,Government,Female,464943,48,0
27,173408,461,Contractor,Female,1248659,60,1
44,241196,410,Salaried,Female,912126,180,0
34,96416,729,Self-employed,Female,279233,360,0
48,187702,438,Salaried,Male,400742,360,0
44,204686,426,Contractor,Male,681209,48,0
32,106608,755,Salaried,Female,728701,36,0
62,207686,618,Salaried,Female,535900,60,1
53,50364,703,Contractor,Male,382651,180,0
26,259430,506,Contractor,Male,1199688,48,0
24,249902,537,Government,Male,967258,36,1
60,253834,846,Salaried,Female,1009125,120,0
46,250912,671,Salaried,Female,136496,60,1
25,273551,406,Salaried,Female,1391113,120,1
59,220960,492,Salaried,Male,1478601,360,0
25,80324,741,Salaried,Female,183497,60,0
45,55894,484,Government,Male,922499,60,1
47,148080,725,Contractor,Female,850402,360,1
27,56269,782,Government,Female,294745,360,1
32,108985,642,Salaried,Female,311867,360,0
64,258917,693,Government,Male,484817,12,0
39,189479,570,Government,Male,240710,48,1
58,202916,631,Government,Male,137918,36,1
23,171018,562,Self-employed,Female,604455,120,0
43,143338,701,Contractor,Male,551794,24,1
45,135609,455,Government,Male,239299,360,0
43,276063,592,Self-employed,Female,586915,60,1
49,228100,703,Contractor,Male,1005242,12,1
23,268650,760,Salaried,Female,636424,48,1
34,280892,739,Salaried,Male,1378326,36,0
50,78358,533,Contractor,Male,784855,24,1
41,122464,473,Salaried,Female,906654,360,1
38,196683,477,Salaried,Female,1140479,48,1
35,246236,634,Salaried,Female,247927,180,0
32,172898,641,Contractor,Male,1225190,120,1
60,216307,653,Contractor,Female,141752,12,1
22,272924,700,Government,Female,846362,180,0
29,288453,744,Salaried,Male,401550,360,0
33,82272,691,Salaried,Male,738054,180,1
30,221953,698,Contractor,Female,291677,48,1
43,260700,555,Salaried,Male,727290,120,1
64,69443,611,Contractor,Female,1530393,48,1
57,89582,559,Salaried,Male,155654,48,0
29,113548,770,Contractor,Male,572633,24,0
54,120897,628,Contractor,Female,842368,180,1
39,139237,465,Contractor,Male,940453,48,1
64,75106,847,Contractor,Male,426969,24,1
38,205012,565,Contractor,Female,442057,36,0
53,144156,599,Self-employed,Female,226918,24,0
37,133415,565,Salaried,Female,814628,24,0
26,293407,505,Government,Male,1187927,60,1
65,58072,509,Salaried,Female,646989,60,0
32,58476,825,Salaried,Female,569034,60,0
33,79868,436,Self-employed,Male,446524,12,1
46,277184,532,Contractor,Female,852951,180,1
65,101184,547,Government,Female,1154665,12,1
63,111865,811,Self-employed,Male,907672,180,1
48,60506,713,Contractor,Female,357823,24,0
41,168541,752,Salaried,Male,1094355,24,0
40,115350,845,Salaried,Male,537138,60,1
50,229017,721,Salaried,Male,567873,48,1
46,112879,400,Self-employed,Female,563110,48,1
21,95877,431,Government,Male,807636,360,0
59,94749,667,Contractor,Female,158692,180,1
36,204870,531,Contractor,Male,312134,24,1
43,92405,469,Contractor,Female,651409,12,1
46,293520,431,Salaried,Male,1161981,180,1
24,133466,404,Government,Female,1324030,36,0
23,140084,481,Contractor,Female,687691,48,0
30,184462,664,Contractor,Female,1182253,48,1
21,219159,681,Contractor,Male,535615,48,1
34,129631,569,Salaried,Male,546602,180,1
36,186999,469,Salaried,Female,1154190,60,1
60,293247,775,Government,Female,1435915,24,0
30,143710,645,Self-employed,Male,1229773,60,0
39,107246,465,Salaried,Male,1205790,36,1
63,74852,639,Contractor,Female,418544,24,1
28,197923,539,Contractor,Male,696631,60,1
64,102027,786,Self-employed,Female,551912,180,1
46,273770,437,Salaried,Female,625540,24,1
42,208980,466,Government,Male,948446,24,1
63,175268,686,Government,Male,1411939,360,1
